date,Team_Abbr,Opp_Abbr,Is_Home,Prob,Odds_Team,EV,Signal,Win,Outcome
2025-11-30,CLE,BOS,True,0.68,1.26,-0.1431999999999998,PASS,0,PASS
2025-11-30,MIN,SAS,True,0.7,1.45,0.0149999999999999,PASS,1,PASS
2025-11-30,NYK,TOR,True,0.6,1.22,-0.268,PASS,1,PASS
2025-11-30,PHI,ATL,True,0.44,1.62,-0.2871999999999999,PASS,0,PASS
2025-11-30,SAC,MEM,True,0.25,1.93,-0.5175000000000001,PASS,0,PASS
2025-11-30,UTA,HOU,True,0.26,3.5,-0.0899999999999999,PASS,0,PASS
2025-11-29,CHO,TOR,True,0.21,2.85,-0.4014999999999999,PASS,1,PASS
2025-11-29,GSW,NOP,True,0.92,1.18,0.0855999999999999,PASS (Odds Too Low),1,PASS
2025-11-29,IND,CHI,True,0.61,1.9,0.159,💎 BET HOME (ROI King) EV=0.16,1,WIN
2025-11-29,LAC,DAL,True,0.66,1.18,-0.2211999999999999,PASS,0,PASS
2025-11-29,MIA,DET,True,0.6,1.42,-0.148,PASS,0,PASS
2025-11-29,MIL,BRK,True,0.55,1.1,-0.3949999999999999,PASS,1,PASS
2025-11-29,MIN,BOS,True,0.59,1.32,-0.2211999999999999,PASS,1,PASS
2025-11-29,PHO,DEN,True,0.36,2.05,-0.2620000000000001,PASS,0,PASS
2025-11-28,ATL,CLE,True,0.41,2.5,0.0249999999999999,PASS,1,PASS
2025-11-28,BRK,PHI,True,0.32,2.55,-0.184,PASS,0,PASS
2025-11-28,CHO,CHI,True,0.47,1.96,-0.0788,PASS,1,PASS
2025-11-28,DEN,SAS,True,0.84,1.25,0.05,PASS (Odds Too Low),0,PASS
2025-11-28,DET,ORL,True,0.51,1.38,-0.2962,PASS,0,PASS
2025-11-28,IND,WAS,True,0.55,1.26,-0.3069999999999999,PASS,1,PASS
2025-11-28,LAC,MEM,True,0.5,1.3,-0.35,PASS,0,PASS
2025-11-28,LAL,DAL,True,0.93,1.15,0.0694999999999999,PASS (Odds Too Low),1,PASS
2025-11-28,NYK,MIL,True,0.9,1.23,0.1069999999999999,PASS (Odds Too Low),1,PASS
2025-11-28,OKC,PHO,True,0.79,1.05,-0.1704999999999998,PASS,1,PASS
2025-11-28,UTA,SAC,True,0.68,1.58,0.0744,💎 BET HOME (ROI King) EV=0.07,1,WIN
2025-11-26,BOS,DET,True,0.56,1.96,0.0976000000000001,🟡 BET HOME (Value) EV=0.10,1,WIN
2025-11-26,CHO,NYK,True,0.31,2.85,-0.1164999999999999,PASS,0,PASS
2025-11-26,GSW,HOU,True,0.39,1.53,-0.4033,PASS,0,PASS
2025-11-26,MIA,MIL,True,0.73,1.22,-0.1094,PASS,1,PASS
2025-11-26,NOP,MEM,True,0.39,1.96,-0.2356,PASS,0,PASS
2025-11-26,OKC,MIN,True,0.76,1.16,-0.1184,PASS,1,PASS
2025-11-26,POR,SAS,True,0.45,1.7,-0.235,PASS,0,PASS
2025-11-26,SAC,PHO,True,0.49,2.15,0.0534999999999998,PASS,0,PASS
2025-11-26,TOR,IND,True,0.96,1.13,0.0847999999999997,PASS (Odds Too Low),1,PASS
2025-11-25,LAL,LAC,True,0.9,1.22,0.098,PASS (Odds Too Low),1,PASS
2025-11-25,PHI,ORL,True,0.43,2.25,-0.0324999999999999,PASS,0,PASS
2025-11-25,WAS,ATL,True,0.32,3.4,0.088,PASS,1,PASS
2025-11-24,BRK,NYK,True,0.2,4.1,-0.18,PASS,0,PASS
2025-11-24,GSW,UTA,True,0.77,1.06,-0.1837999999999999,PASS,1,PASS
2025-11-24,IND,DET,True,0.21,3.4,-0.286,PASS,0,PASS
2025-11-24,MEM,DEN,True,0.17,2.85,-0.5155,PASS,0,PASS
2025-11-24,MIA,DAL,True,0.76,1.2,-0.088,PASS,1,PASS
2025-11-24,MIL,POR,True,0.52,1.7,-0.1159999999999999,PASS,0,PASS
2025-11-24,NOP,CHI,True,0.53,2.35,0.2455,🟡 BET HOME (Value) EV=0.25,1,WIN
2025-11-24,PHO,HOU,True,0.35,2.4,-0.16,PASS,0,PASS
2025-11-24,SAC,MIN,True,0.31,3.2,-0.008,PASS,1,PASS
2025-11-24,TOR,CLE,True,0.8,1.68,0.3440000000000001,🚀 BET HOME (High EV) EV=0.34,1,WIN
2025-11-23,ATL,CHO,True,0.79,1.25,-0.0124999999999999,PASS,1,PASS
2025-11-23,BOS,ORL,True,0.63,1.48,-0.0676,PASS,1,PASS
2025-11-23,CLE,LAC,True,0.8,1.23,-0.016,PASS,1,PASS
2025-11-23,PHI,MIA,True,0.4,1.78,-0.2879999999999999,PASS,0,PASS
2025-11-23,PHO,SAS,True,0.58,1.55,-0.101,PASS,1,PASS
2025-11-23,UTA,LAL,True,0.4,3.3,0.32,🚀 BET HOME (High EV) EV=0.32,0,LOSS
2025-11-22,CHI,WAS,True,0.79,1.13,-0.1073,PASS,1,PASS
2025-11-22,CHO,LAC,True,0.68,1.78,0.2104000000000001,💎 BET HOME (ROI King) EV=0.21,0,LOSS
2025-11-22,DAL,MEM,True,0.59,1.72,0.0147999999999999,🟡 BET HOME (Value) EV=0.01,0,LOSS
2025-11-22,DEN,SAC,True,0.89,1.09,-0.0298999999999999,PASS (Odds Too Low),0,PASS
2025-11-22,MIL,DET,True,0.42,2.95,0.2390000000000001,🚀 BET HOME (High EV) EV=0.24,0,LOSS
2025-11-22,NOP,ATL,True,0.36,3.3,0.1879999999999999,PASS,0,PASS
2025-11-22,ORL,NYK,True,0.56,1.62,-0.0927999999999998,PASS,1,PASS
2025-11-21,CHI,MIA,True,0.33,1.6,-0.472,PASS,0,PASS
2025-11-21,DAL,NOP,True,0.69,1.48,0.0211999999999998,💎 BET HOME (ROI King) EV=0.02,1,WIN
2025-11-21,GSW,POR,True,0.51,1.16,-0.4084,PASS,0,PASS
2025-11-21,HOU,DEN,True,0.54,1.53,-0.1737999999999999,PASS,0,PASS
2025-11-21,PHO,MIN,True,0.59,2.15,0.2684999999999999,🟡 BET HOME (Value) EV=0.27,1,WIN
2025-11-20,MEM,SAC,True,0.7,1.5,0.0499999999999998,PASS,1,PASS
2025-11-20,MIL,PHI,True,0.69,1.9,0.3109999999999999,💎 BET HOME (ROI King) EV=0.31,0,LOSS
2025-11-20,ORL,LAC,True,0.83,1.33,0.1039000000000001,PASS (Odds Too Low),1,PASS
2025-11-20,SAS,ATL,True,0.54,1.75,-0.0549999999999999,PASS,1,PASS
2025-11-19,CLE,HOU,True,0.43,1.86,-0.2001999999999999,PASS,0,PASS
2025-11-19,DAL,NYK,True,0.4,2.95,0.1800000000000001,PASS,0,PASS
2025-11-19,IND,CHO,True,0.59,1.8,0.062,🟡 BET HOME (Value) EV=0.06,1,WIN
2025-11-19,MIA,GSW,True,0.62,1.13,-0.2994000000000001,PASS,1,PASS
2025-11-19,MIN,WAS,True,0.92,1.04,-0.0431999999999999,PASS (Odds Too Low),1,PASS
2025-11-19,OKC,SAC,True,0.53,1.02,-0.4593999999999999,PASS,1,PASS
2025-11-19,PHI,TOR,True,0.43,1.93,-0.1701,PASS,0,PASS
2025-11-19,POR,CHI,True,0.55,2.15,0.1825000000000001,🟡 BET HOME (Value) EV=0.18,0,LOSS
2025-11-18,ATL,DET,True,0.65,1.8,0.1700000000000001,💎 BET HOME (ROI King) EV=0.17,0,LOSS
2025-11-18,BRK,BOS,True,0.26,3.4,-0.1159999999999999,PASS,0,PASS
2025-11-18,ORL,GSW,True,0.56,1.94,0.0864,🟡 BET HOME (Value) EV=0.09,1,WIN
2025-11-18,POR,PHO,True,0.3,1.62,-0.514,PASS,0,PASS
2025-11-18,SAS,MEM,True,0.82,1.28,0.0495999999999998,PASS (Odds Too Low),1,PASS
2025-11-17,CLE,MIL,True,0.63,1.28,-0.1936,PASS,1,PASS
2025-11-17,DEN,CHI,True,0.81,1.05,-0.1494999999999998,PASS (Odds Too Low),0,PASS
2025-11-17,DET,IND,True,0.83,1.12,-0.0703999999999999,PASS (Odds Too Low),1,PASS
2025-11-17,MIA,NYK,True,0.45,1.63,-0.2665,PASS,1,PASS
2025-11-17,MIN,DAL,True,0.77,1.06,-0.1837999999999999,PASS,1,PASS
2025-11-17,PHI,LAC,True,0.7,1.35,-0.055,PASS,1,PASS
2025-11-17,TOR,CHO,True,0.78,1.18,-0.0796,PASS,1,PASS
2025-11-16,BOS,LAC,True,0.75,1.28,-0.04,PASS,1,PASS
2025-11-16,DAL,POR,True,0.67,2.0,0.3400000000000001,💎 BET HOME (ROI King) EV=0.34,1,WIN
2025-11-16,HOU,ORL,True,0.67,1.2,-0.1959999999999999,PASS,1,PASS
2025-11-16,PHO,ATL,True,0.67,1.65,0.1054999999999999,💎 BET HOME (ROI King) EV=0.11,0,LOSS
2025-11-16,SAS,SAC,True,0.7,1.26,-0.1180000000000001,PASS,1,PASS
2025-11-16,UTA,CHI,True,0.42,2.2,-0.0759999999999999,PASS,1,PASS
2025-11-16,WAS,BRK,True,0.53,1.53,-0.1890999999999999,PASS,0,PASS
2025-11-15,CLE,MEM,True,0.85,1.13,-0.0395,PASS (Odds Too Low),1,PASS
2025-11-15,IND,TOR,True,0.25,2.85,-0.2875,PASS,0,PASS
2025-11-15,MIL,LAL,True,0.72,1.65,0.1879999999999999,PASS,0,PASS
2025-11-15,MIN,DEN,True,0.63,1.85,0.1654999999999999,💎 BET HOME (ROI King) EV=0.17,0,LOSS
2025-11-14,DAL,LAC,True,0.48,2.0,-0.04,PASS,0,PASS
2025-11-14,DET,PHI,True,0.61,1.66,0.0125999999999999,💎 BET HOME (ROI King) EV=0.01,1,WIN
2025-11-14,HOU,POR,True,0.73,1.23,-0.1021,PASS,1,PASS
2025-11-14,MIL,CHO,True,0.62,1.18,-0.2684000000000001,PASS,1,PASS
2025-11-14,NOP,LAL,True,0.36,3.3,0.1879999999999999,PASS,0,PASS
2025-11-14,NYK,MIA,True,0.62,1.3,-0.1939999999999999,PASS,1,PASS
2025-11-14,ORL,BRK,True,0.88,1.07,-0.0583999999999998,PASS (Odds Too Low),1,PASS
2025-11-14,SAS,GSW,True,0.74,1.5,0.1099999999999998,PASS,0,PASS
2025-11-13,CLE,TOR,True,0.68,1.25,-0.1499999999999999,PASS,0,PASS
2025-11-13,PHO,IND,True,0.81,1.35,0.0935000000000001,PASS (Odds Too Low),1,PASS
2025-11-13,UTA,ATL,True,0.31,1.9,-0.411,PASS,0,PASS
2025-11-12,BOS,MEM,True,0.77,1.23,-0.0528999999999999,PASS,1,PASS
2025-11-12,CHO,MIL,True,0.39,1.96,-0.2356,PASS,1,PASS
2025-11-12,DAL,PHO,True,0.35,1.9,-0.3350000000000001,PASS,0,PASS
2025-11-12,DET,CHI,True,0.7,1.96,0.3719999999999999,🚀 BET HOME (High EV) EV=0.37,1,WIN
2025-11-12,LAC,DEN,True,0.36,2.4,-0.136,PASS,0,PASS
2025-11-12,MIA,CLE,True,0.5,1.36,-0.3199999999999999,PASS,0,PASS
2025-11-12,NOP,POR,True,0.24,2.95,-0.292,PASS,0,PASS
2025-11-12,NYK,ORL,True,0.87,1.4,0.2179999999999999,🚀 BET HOME (High EV) EV=0.22,0,LOSS
2025-11-12,OKC,LAL,True,0.59,1.23,-0.2743000000000001,PASS,1,PASS
2025-11-12,SAC,ATL,True,0.33,2.2,-0.2739999999999999,PASS,0,PASS
2025-11-12,SAS,GSW,True,0.76,1.42,0.0791999999999999,PASS,0,PASS
2025-11-11,BRK,TOR,True,0.16,3.3,-0.472,PASS,0,PASS
2025-11-11,NYK,MEM,True,0.87,1.15,0.0004999999999999,PASS (Odds Too Low),1,PASS
2025-11-11,OKC,GSW,True,0.77,1.23,-0.0528999999999999,PASS,1,PASS
2025-11-11,PHI,BOS,True,0.65,1.8,0.1700000000000001,💎 BET HOME (ROI King) EV=0.17,1,WIN
2025-11-11,SAC,DEN,True,0.39,2.95,0.1505,PASS,0,PASS
2025-11-11,UTA,IND,True,0.63,1.82,0.1466,💎 BET HOME (ROI King) EV=0.15,1,WIN
2025-11-10,CHI,SAS,True,0.65,2.15,0.3974999999999999,💎 BET HOME (ROI King) EV=0.40,0,LOSS
2025-11-10,CHO,LAL,True,0.57,2.95,0.6815,🟡 BET HOME (Value) EV=0.68,0,LOSS
2025-11-10,DAL,MIL,True,0.22,2.1,-0.538,PASS,0,PASS
2025-11-10,LAC,ATL,True,0.34,1.4,-0.524,PASS,0,PASS
2025-11-10,MIA,CLE,True,0.52,2.7,0.4040000000000001,🟡 BET HOME (Value) EV=0.40,1,WIN
2025-11-10,ORL,POR,True,0.5,1.62,-0.1899999999999999,PASS,1,PASS
2025-11-10,PHO,NOP,True,0.83,1.2,-0.0040000000000001,PASS (Odds Too Low),1,PASS
2025-11-10,UTA,MIN,True,0.24,2.85,-0.316,PASS,0,PASS
2025-11-09,MEM,OKC,True,0.07,3.5,-0.755,PASS,0,PASS
2025-11-09,MIL,HOU,True,0.56,2.1,0.1760000000000001,🟡 BET HOME (Value) EV=0.18,0,LOSS
2025-11-09,ORL,BOS,True,0.41,1.46,-0.4014000000000001,PASS,0,PASS
2025-11-09,PHI,DET,True,0.63,2.2,0.3860000000000001,💎 BET HOME (ROI King) EV=0.39,0,LOSS
2025-11-09,SAC,MIN,True,0.49,2.2,0.078,PASS,0,PASS
2025-11-08,ATL,LAL,True,0.4,2.4,-0.04,PASS,1,PASS
2025-11-08,CLE,CHI,True,0.66,1.22,-0.1947999999999999,PASS,1,PASS
2025-11-08,DEN,IND,True,0.93,1.15,0.0694999999999999,PASS (Odds Too Low),1,PASS
2025-11-08,LAC,PHO,True,0.39,1.45,-0.4345,PASS,0,PASS
2025-11-08,MIA,POR,True,0.64,2.0,0.28,💎 BET HOME (ROI King) EV=0.28,1,WIN
2025-11-08,PHI,TOR,True,0.62,1.36,-0.1567999999999999,PASS,1,PASS
2025-11-08,WAS,DAL,True,0.31,2.15,-0.3335,PASS,0,PASS
2025-11-07,ATL,TOR,True,0.37,1.6,-0.408,PASS,0,PASS
2025-11-07,BRK,DET,True,0.15,3.3,-0.5050000000000001,PASS,0,PASS
2025-11-07,DEN,GSW,True,0.73,1.15,-0.1605000000000001,PASS,1,PASS
2025-11-07,MEM,DAL,True,0.69,1.42,-0.0202000000000001,PASS,1,PASS
2025-11-07,MIA,CHO,True,0.65,1.28,-0.1679999999999999,PASS,1,PASS
2025-11-07,MIL,CHI,True,0.84,1.42,0.1927999999999998,PASS,1,PASS
2025-11-07,ORL,BOS,True,0.45,1.46,-0.3429999999999999,PASS,1,PASS
2025-11-07,SAS,HOU,True,0.42,2.1,-0.118,PASS,1,PASS
2025-11-06,PHO,LAC,True,0.55,1.48,-0.1859999999999999,PASS,1,PASS
2025-11-05,CLE,PHI,True,0.62,1.16,-0.2808,PASS,1,PASS
2025-11-05,DAL,NOP,True,0.77,1.22,-0.0605999999999999,PASS,0,PASS
2025-11-05,DEN,MIA,True,0.69,1.16,-0.1996000000000001,PASS,1,PASS
2025-11-05,DET,UTA,True,0.53,1.15,-0.3905,PASS,1,PASS
2025-11-05,IND,BRK,True,0.69,1.28,-0.1168,PASS,0,PASS
2025-11-05,LAL,SAS,True,0.51,1.7,-0.133,PASS,1,PASS
2025-11-05,MEM,HOU,True,0.51,2.85,0.4535,🟡 BET HOME (Value) EV=0.45,0,LOSS
2025-11-05,NYK,MIN,True,0.58,1.48,-0.1416,PASS,1,PASS
2025-11-05,POR,OKC,True,0.39,2.2,-0.1419999999999999,PASS,1,PASS
2025-11-05,SAC,GSW,True,0.51,1.52,-0.2248,PASS,1,PASS
2025-11-04,ATL,ORL,True,0.42,2.05,-0.1390000000000001,PASS,1,PASS
2025-11-04,CHI,PHI,True,0.55,1.65,-0.0925,PASS,1,PASS
2025-11-04,GSW,PHO,True,0.74,1.12,-0.1711999999999999,PASS,1,PASS
2025-11-04,LAC,OKC,True,0.31,2.85,-0.1164999999999999,PASS,0,PASS
2025-11-04,NOP,CHO,True,0.38,1.55,-0.4109999999999999,PASS,1,PASS
2025-11-04,TOR,MIL,True,0.29,1.56,-0.5476000000000001,PASS,1,PASS
2025-11-03,BOS,UTA,True,0.78,1.13,-0.1186,PASS,0,PASS
2025-11-03,BRK,MIN,True,0.37,3.2,0.1839999999999999,PASS,0,PASS
2025-11-03,DEN,SAC,True,0.86,1.1,-0.0539999999999999,PASS (Odds Too Low),1,PASS
2025-11-03,IND,MIL,True,0.56,2.4,0.3440000000000001,🟡 BET HOME (Value) EV=0.34,0,LOSS
2025-11-03,LAC,MIA,True,0.47,1.25,-0.4125000000000001,PASS,0,PASS
2025-11-03,MEM,DET,True,0.65,2.15,0.3974999999999999,💎 BET HOME (ROI King) EV=0.40,0,LOSS
2025-11-03,NYK,WAS,True,0.81,1.12,-0.0927999999999998,PASS (Odds Too Low),1,PASS
2025-11-03,POR,LAL,True,0.65,1.2,-0.2199999999999999,PASS,0,PASS
2025-11-02,BRK,PHI,True,0.33,2.2,-0.2739999999999999,PASS,0,PASS
2025-11-02,CHO,UTA,True,0.48,1.82,-0.1263999999999999,PASS,1,PASS
2025-11-02,CLE,ATL,True,0.6,1.28,-0.2319999999999999,PASS,1,PASS
2025-11-02,LAL,MIA,True,0.41,1.43,-0.4137,PASS,1,PASS
2025-11-02,NYK,CHI,True,0.36,1.25,-0.55,PASS,1,PASS
2025-11-02,OKC,NOP,True,0.95,1.09,0.0355,PASS (Odds Too Low),1,PASS
2025-11-02,PHO,SAS,True,0.39,2.3,-0.103,PASS,1,PASS
2025-11-02,TOR,MEM,True,0.63,1.38,-0.1306,PASS,1,PASS
2025-11-01,BOS,HOU,True,0.57,2.25,0.2825,🟡 BET HOME (Value) EV=0.28,0,LOSS
2025-11-01,CHO,MIN,True,0.64,2.15,0.3759999999999999,💎 BET HOME (ROI King) EV=0.38,0,LOSS
2025-11-01,DET,DAL,True,0.66,1.25,-0.1749999999999999,PASS,1,PASS
2025-11-01,IND,GSW,True,0.64,3.4,1.1760000000000002,💎 BET HOME (ROI King) EV=1.18,1,WIN
2025-11-01,MIL,SAC,True,0.81,1.28,0.0368000000000001,PASS (Odds Too Low),0,PASS
2025-11-01,WAS,ORL,True,0.34,3.1,0.054,PASS,0,PASS
2025-10-31,CHI,NYK,True,0.67,2.2,0.4740000000000002,💎 BET HOME (ROI King) EV=0.47,1,WIN
2025-10-31,CLE,TOR,True,0.76,1.38,0.0487999999999999,PASS,0,PASS
2025-10-31,IND,ATL,True,0.73,1.86,0.3578000000000001,🚀 BET HOME (High EV) EV=0.36,0,LOSS
2025-10-31,MEM,LAL,True,0.41,1.85,-0.2415,PASS,0,PASS
2025-10-31,PHI,BOS,True,0.42,1.75,-0.265,PASS,0,PASS
2025-10-31,PHO,UTA,True,0.48,1.52,-0.2704,PASS,1,PASS
2025-10-31,POR,DEN,True,0.51,2.5,0.2749999999999999,🟡 BET HOME (Value) EV=0.27,1,WIN
2025-10-30,CHO,ORL,True,0.71,2.05,0.4554999999999998,🚀 BET HOME (High EV) EV=0.46,0,-
2025-10-30,MIL,GSW,True,0.43,1.85,-0.2045,PASS,1,-
2025-10-30,SAS,MIA,True,0.63,1.33,-0.1620999999999999,PASS,1,-
2025-10-29,BOS,CLE,True,0.56,1.86,0.0416,🟡 BET HOME (Value) EV=0.04,1,-
2025-10-29,BRK,ATL,True,0.28,2.85,-0.2019999999999998,PASS,0,-
2025-10-29,CHI,SAC,True,0.68,1.4,-0.048,PASS,1,-
2025-10-29,DAL,IND,True,0.62,1.3,-0.1939999999999999,PASS,1,-
2025-10-29,DEN,NOP,True,0.73,1.1,-0.1969999999999999,PASS,1,-
2025-10-29,DET,ORL,True,0.68,1.88,0.2784,💎 BET HOME (ROI King) EV=0.28,1,-
2025-10-29,MIN,LAL,True,0.39,1.26,-0.5085999999999999,PASS,0,-
2025-10-29,PHO,MEM,True,0.39,1.9,-0.259,PASS,0,-
2025-10-29,TOR,HOU,True,0.44,2.35,0.034,PASS,0,-
2025-10-29,UTA,POR,True,0.41,1.94,-0.2046000000000001,PASS,0,-
2025-10-28,GSW,LAC,True,0.44,1.75,-0.2299999999999999,PASS,1,-
2025-10-28,MIA,CHO,True,0.72,1.43,0.0295999999999998,PASS,1,-
2025-10-28,MIL,NYK,True,0.5,1.85,-0.0749999999999999,PASS,1,-
2025-10-28,OKC,SAC,True,0.73,1.18,-0.1386,PASS,1,-
2025-10-28,WAS,PHI,True,0.27,2.2,-0.4059999999999999,PASS,0,-
2025-10-27,CHI,ATL,True,0.71,1.93,0.3702999999999998,🚀 BET HOME (High EV) EV=0.37,1,-
2025-10-27,DAL,OKC,True,0.27,3.1,-0.1629999999999999,PASS,0,-
2025-10-27,DET,CLE,True,0.47,1.9,-0.1070000000000001,PASS,0,-
2025-10-27,GSW,MEM,True,0.52,1.22,-0.3656,PASS,1,-
2025-10-27,LAL,POR,True,0.56,1.94,0.0864,🟡 BET HOME (Value) EV=0.09,0,-
2025-10-27,MIN,DEN,True,0.44,2.5,0.1,PASS,0,-
2025-10-27,NOP,BOS,True,0.42,1.85,-0.2229999999999999,PASS,0,-
2025-10-27,PHI,ORL,True,0.6,2.4,0.4399999999999999,💎 BET HOME (ROI King) EV=0.44,1,-
2025-10-27,SAS,TOR,True,0.79,1.4,0.1059999999999998,PASS,1,-
2025-10-27,UTA,PHO,True,0.6,1.65,-0.0100000000000001,PASS,1,-
2025-10-26,CLE,MIL,True,0.44,1.28,-0.4367999999999999,PASS,1,-
2025-10-26,DAL,TOR,True,0.58,1.75,0.0149999999999999,🟡 BET HOME (Value) EV=0.01,1,-
2025-10-26,DET,BOS,True,0.65,1.55,0.0075,💎 BET HOME (ROI King) EV=0.01,1,-
2025-10-26,LAC,POR,True,0.62,1.23,-0.2374,PASS,1,-
2025-10-26,MIA,NYK,True,0.63,1.93,0.2158999999999999,💎 BET HOME (ROI King) EV=0.22,1,-
2025-10-26,MIN,IND,True,0.74,1.1,-0.1859999999999999,PASS,1,-
2025-10-26,SAC,LAL,True,0.4,1.52,-0.3919999999999999,PASS,0,-
2025-10-26,SAS,BRK,True,0.78,1.1,-0.1419999999999999,PASS,1,-
2025-10-26,WAS,CHO,True,0.56,1.62,-0.0927999999999998,PASS,0,-
2025-10-25,ATL,OKC,True,0.21,2.95,-0.3804999999999999,PASS,0,-
2025-10-25,MEM,IND,True,0.5,1.58,-0.2099999999999999,PASS,1,-
2025-10-25,ORL,CHI,True,0.44,1.32,-0.4192,PASS,0,-
2025-10-25,PHI,CHO,True,0.64,1.42,-0.0912,PASS,1,-
2025-10-24,BRK,CLE,True,0.36,4.0,0.4399999999999999,🚀 BET HOME (High EV) EV=0.44,0,-
2025-10-24,DAL,WAS,True,0.58,1.1,-0.362,PASS,0,-
2025-10-24,HOU,DET,True,0.75,1.28,-0.04,PASS,0,-
2025-10-24,LAC,PHO,True,0.53,1.15,-0.3905,PASS,1,-
2025-10-24,LAL,MIN,True,0.44,1.8,-0.2079999999999999,PASS,1,-
2025-10-24,MEM,MIA,True,0.75,1.52,0.1400000000000001,PASS,0,-
2025-10-24,NOP,SAS,True,0.37,2.1,-0.2229999999999999,PASS,0,-
2025-10-24,NYK,BOS,True,0.55,1.48,-0.1859999999999999,PASS,1,-
2025-10-24,ORL,ATL,True,0.78,1.33,0.0374000000000001,PASS,0,-
2025-10-24,POR,GSW,True,0.14,2.15,-0.6990000000000001,PASS,1,-
2025-10-24,SAC,UTA,True,0.55,1.35,-0.2574999999999998,PASS,1,-
2025-10-24,TOR,MIL,True,0.58,1.65,-0.0430000000000001,PASS,0,-
2025-10-23,GSW,DEN,True,0.39,1.66,-0.3526,PASS,1,-
2025-10-23,IND,OKC,True,0.58,2.8,0.6239999999999999,🟡 BET HOME (Value) EV=0.62,0,-
2025-10-22,ATL,TOR,True,0.46,1.33,-0.3882,PASS,0,-
2025-10-22,BOS,PHI,True,0.65,1.38,-0.103,PASS,0,-
2025-10-22,CHI,DET,True,0.72,1.96,0.4112,🚀 BET HOME (High EV) EV=0.41,1,-
2025-10-22,CHO,BRK,True,0.45,1.38,-0.379,PASS,1,-
2025-10-22,DAL,SAS,True,0.56,1.48,-0.1711999999999999,PASS,0,-
2025-10-22,MEM,NOP,True,0.78,1.46,0.1388,PASS,1,-
2025-10-22,MIL,WAS,True,0.44,1.13,-0.5028,PASS,1,-
2025-10-22,NYK,CLE,True,0.64,1.82,0.1648,💎 BET HOME (ROI King) EV=0.16,1,-
2025-10-22,ORL,MIA,True,0.52,1.2,-0.376,PASS,1,-
2025-10-22,PHO,SAC,True,0.42,1.45,-0.391,PASS,1,-
2025-10-22,POR,MIN,True,0.35,2.2,-0.2299999999999999,PASS,0,-
2025-10-22,UTA,LAC,True,0.3,3.3,-0.0100000000000001,PASS,1,-
2025-10-21,LAL,GSW,True,0.63,1.88,0.1843999999999999,💎 BET HOME (ROI King) EV=0.18,0,-
2025-10-21,OKC,HOU,True,0.75,1.28,-0.04,PASS,1,-
